date	business_id	review_id	user_id	stars	funny	cool	useful	text	name	address	city	state	postal_code	review_count	is_open	categories	longitude	latitude
2018-07-26T13:49:50Z	trZ9PBGPUil8NEAoFdb1rQ	jh-DO_ZYsgmdnuSK0_D8ew	BG5eeImO-in7QW--0qnTmg	1	0	0	0	Standing here watching them get everybody order wrong. Waited 6 minutes for 2 sausage muffin no cheese. Yikes	McDonald's	10700 Brookpark Rd	Brooklyn	OH	44130	8	1	Fast Food, Food, Burgers, Restaurants, Coffee & Tea	-81.7589984742	41.4189079924
2013-05-07T21:30:46Z	XcBRdmFOBEKmgKbPvz5s0g	IhuvSTeye4esytHWvb2h9Q	Y_mSnNhWPVlyUEwSaA9Gdw	2	3	0	0	I once got busy in this burger king bathroom. Not all the humpty dance has it hyped up to be. I have been hittin up BKs across this great country of ours for decades.  So I was quite disapointed with this joint when I had to spend most of my time in the restrrom.  Maybe it was something I ate before my double whopper, but I doubt it. :(	Burger King	1901 Route 286	Pittsburgh	PA	15239	3	1	Restaurants, Fast Food, Burgers	-79.7139899088	40.4512282576
2018-07-17T12:59:22Z	trZ9PBGPUil8NEAoFdb1rQ	O_xhy_3_SKZ4zpp6ozKQJQ	YsI_keLFC4gEom3WMwxtBA	1	0	0	0	Was not impressed at this location it's 8am the store Nasty they just opened tables an floor Dirty sticky. Soda machine wasn't clean last night bugs flying no ice machine..The sweet tea taste like water. The manager a tall man causian with Glass with The I don't Care attitude with tattoos Cute but attitude makes him look unpleasant to talk to. So they get a D	McDonald's	10700 Brookpark Rd	Brooklyn	OH	44130	8	1	Fast Food, Food, Burgers, Restaurants, Coffee & Tea	-81.7589984742	41.4189079924
2018-05-20T18:46:31Z	pfGV7rxls65U-yusYR_zfw	LhCVoitMyekNCbBYEuceaA	0iBBKWDEJkQgDPl8O98g9w	2	1	1	1	Stopped while traveling in the interstate.  Heap, quick and hot. Gave the extra star because there was outside seating.	Burger King	7998 Leavitt Rd	Amherst	OH	44001	4	1	Burgers, Restaurants, Fast Food	-82.211264	41.378803
2015-06-21T21:29:33Z	ghovD5ZTGDQ5Q2U4ERddWw	yPPDNk-fiVU5gKHn5RrgdA	lCxl9_MnmQ2NhG-X7vDIOg	4	0	0	0	I love five guys the only reason why I am giving it 4 stars is because when you order carryout I can't stand when they pour the fries on top of the packed burgers. I know it is silly but it annoys me. The burgers are so good and the fries amazing. The Cajun fries so good. I love the cheeseburger all the way.	Five Guys	3863 Medina Rd	Fairlawn	OH	44333	29	1	Restaurants, Burgers, American (New), Fast Food	-81.6397122	41.1365608
2015-11-20T07:08:22Z	awGiEZOQ7ldhrzTbibpV2w	lhIMl3U1evTnELWZGYb8yg	9RT5v-dD1Uks90e9QE8pLg	1	0	0	0	"Really wish no stars were a option, seeing as the snarky, rude, and sarcastic customer service sold me on the fact, that even as a McDonald's fast food worker, they obviously don't care about their crappy jobs. Nor do I except them to give two flying sh!ts about their reviews, because their lives are probably just as miserable as their burger flipping salary.  

I've come here twice and both times my order was messed up, getting a hold of a manager was like five nights at Freddy's , and finally after contacting the dimwits I got a refunded order. After being treated like I was an inconvenience, I finally got to the window to order ( because their shitty microphones don't work) and decided to add a coca-cola, and a burger ( seeing as I just got off work and was hungrier then a hippo). The broad at the window acted as if her life was in shambles over the request, so I just smiled and continued on my way to the next window, where I was greeted by a nice young man who has worked a 12 hour shift, from what I was told and was scheduled to work even longer because the dipshit (my words not his) managers obviously can't make a schedule. Not only did the dumb broad from the first window start  squawking from the back but she was so annoying the poor man needed a break. I eventually got my food, and checked to make sure the food was there. Thankfully it was, and I didn't need to give the girl a experience she was not prepared for, but I asked for her name. SURPRISINGLY  HER NAME WAS MICKY. WHO WORKS AT MICKY DS.  amused with her life, I thanked her and drove away. 

Basically I'm sure she didn't graduate middle school, and I feel terrible for co-worker, who as I type this is probably hoping she trips and falls.  

I literally made this account just to post this."	McDonald's	5616 Memphis Ave	Cleveland	OH	44144	15	1	Food, Fast Food, Restaurants, Coffee & Tea, Burgers	-81.7250217497	41.4402200773
2017-10-13T16:50:44Z	trZ9PBGPUil8NEAoFdb1rQ	V8TFEUSAxO3OWmT_mF38oA	5HT19hy9abs-uq_XYmEdDg	1	0	0	0	"I have had several problems with sub-standard food at this location ranging from extremely messy to expired items...the pies of a "sell by" time printed on the box.
Today I ordered the Artisan Grilled Chicken Sandwich.  As I open the bag I could smell the lettuce.  The smell seemed really pungent.  As you can see in the pic...The lettuce was basically rotten.  I called the store.  Manager had no way to receive a pic so I could show her the problem.  Said I would have to bring it in.  I explained that I am at work.  She said, "Well I'm sorry but I cant help you"."	McDonald's	10700 Brookpark Rd	Brooklyn	OH	44130	8	1	Fast Food, Food, Burgers, Restaurants, Coffee & Tea	-81.7589984742	41.4189079924
2014-08-12T12:53:15Z	awGiEZOQ7ldhrzTbibpV2w	PmcKOqSAMnd4QMd_rGMVfA	nflhf5vUsjjudRA4th-e-A	1	0	1	1	"Continues to be the worst McDonalds I've ever been to.
Just stopped for breakfast the employees couldn't move any slower if it were humanly possible an extremely discourteous.. 
I just don't understand how this place stays in business."	McDonald's	5616 Memphis Ave	Cleveland	OH	44144	15	1	Food, Fast Food, Restaurants, Coffee & Tea, Burgers	-81.7250217497	41.4402200773
2011-11-04T11:46:08Z	di3wdIs-q4Y3GHM2YFYIdg	oAbjHvO2yfl5crWWysHFLg	_MjgqPR1pvDnZZ6wCwabBQ	3	0	0	0	"Just like all other McDonalds but no playroom.  It is located in the heart of shopping and eateries, close to Toys R Us and right off of Howe Road.

Drive thru is easy to access and go through, but getting in and out of the place in general can be a bitch if it's busy.  The place is clean and neat and employs friendly people.  My orders have always been correct and on par, unlike other places I've been too.  I've never had a problem with substitution, subtractions, or additions to my food.  They are very accommodating, at least for me."	McDonald's	482 Howe Ave	Cuyahoga Falls	OH	44221	5	1	Fast Food, Burgers, Coffee & Tea, Food, Restaurants	-81.4772419631	41.1186279924
