business_id	name	address	city	state	postal_code	stars	review_count	is_open	categories	longitude	latitude
tLpkSwdtqqoXwU0JAGnApw	Wendy's	4602 Northfield Road	Cleveland	OH	44128	3.5	7	1	Restaurants, Fast Food, Burgers	-81.5270257	41.434614
CfwrsG76Wm4iLS22v_wAcg	McDonald's	6421 Pearl Rd	Parma Heights	OH	44130	2.5	15	1	Restaurants, Coffee & Tea, Burgers, Fast Food, Food	-81.7681127787	41.3859494817
grZ6FnfZoj1pQWElAQve3g	Wendy's	2410 W. Liberty	Pittsburgh	PA	15226	2	22	1	Fast Food, Restaurants, Burgers	-80.0241271	40.4002348
v3kXkK9ga8jfgetr0Hb5Eg	McDonald's	31115 Vine St	Willowick	OH	44095	2	8	1	Restaurants, Coffee & Tea, Burgers, Food, Fast Food	-81.469927	41.6429207
usdef3dIb6VXGV8peev2_w	Five Guys	26037 Lorain Rd	North Olmsted	OH	44070	3.5	14	1	Restaurants, American (New), Fast Food, Burgers	-81.9096596	41.4203196
bVE26iEtkEsAWZHMVyAPeQ	Five Guys	3100 Westgate	Fairview Park	OH	44116	3	27	1	Restaurants, Fast Food, American (New), Burgers	-81.850925	41.461215
cprIQ1e2be5LD7jpPEyiSw	McDonald's	3051 E Washington Ave	Madison	WI	53704	3	7	0	Burgers, Restaurants, Fast Food	-89.340903	43.104087
-8PU0Z4Q2Nc-sY0eBj4DiQ	McDonald's	32799 Walker Rd	Avon Lake	OH	44012	1	12	1	Burgers, Fast Food, Restaurants, Coffee & Tea, Food	-82.0201537495	41.492595134
n3AHTASqE5QCfuq0AQpT5Q	McDonald's	616 E Green St	Champaign	IL	61820	1.5	6	1	Coffee & Tea, Food, Burgers, Restaurants, Fast Food	-88.229836	40.11043
Hl_RQeOOaEjWvO7eGkb1Lg	Burger King	36240 Detroit Rd	Avon	OH	44011	1.5	5	1	Restaurants, Burgers, Fast Food, Hot Dogs, Food	-82.0250287	41.4585553
nrxmMlgoiScXTLIGzv3o5Q	Wendy's	515 E. Main Street	Kent	OH	44240	1.5	15	1	Fast Food, Burgers, Restaurants	-81.350693	41.154107
lT4-nAyBJE2NJvi_dGwU5Q	Wendy's	743 W. Main St.	Sun Prairie	WI	53590	1.5	7	1	Fast Food, Restaurants, Burgers	-89.2258822	43.181679
avgWQOnKiRAoJiG4RMDeiQ	Burger King	810 North Main Street	Oregon	WI	53575	2	13	1	Burgers, Fast Food, Restaurants	-89.3829513	42.9384063
XcBRdmFOBEKmgKbPvz5s0g	Burger King	1901 Route 286	Pittsburgh	PA	15239	2	3	1	Restaurants, Fast Food, Burgers	-79.7139899088	40.4512282576
CxvirkRLRYaspG6GKn73YQ	McDonald's	22801 Emery Rd	Warrensville Heights	OH	44128	1	4	0	Burgers, Food, Restaurants, Coffee & Tea, Fast Food	-81.5187796	41.4352392
0DeOsUXPoxtfCzHJg76R-Q	Burger King	616 West Broad Street	Elyria	OH	44035	3	4	1	Fast Food, Restaurants, Burgers	-82.110874	41.36738
f0O3dXG2t3QUFw8ogNRVjA	Wendy's	5740 Broadview	Parma	OH	44134	1.5	15	1	Fast Food, Burgers, Restaurants	-81.6917805	41.4063048
di3wdIs-q4Y3GHM2YFYIdg	McDonald's	482 Howe Ave	Cuyahoga Falls	OH	44221	3	5	1	Fast Food, Burgers, Coffee & Tea, Food, Restaurants	-81.4772419631	41.1186279924
ghovD5ZTGDQ5Q2U4ERddWw	Five Guys	3863 Medina Rd	Fairlawn	OH	44333	4	29	1	Restaurants, Burgers, American (New), Fast Food	-81.6397122	41.1365608
vcV1q5onsIMFhOBxwNow7A	McDonald's	22535 Lorain Rd	Fairview Park	OH	44126	2.5	9	1	Fast Food, Coffee & Tea, Restaurants, Food, Burgers	-81.8693608046	41.4392079773
PHJpAJUUzNOpKgsJgjzuww	Burger King	5995 Andrews Rd	Mentor On The Lake	OH	44060	2.5	5	1	Restaurants, Fast Food, Burgers, Hot Dogs	-81.3607571	41.7081878
7dnXdS-vLMqGogRmTUi76A	McDonald's	199 W Garfield	Aurora	OH	44202	2	7	1	Burgers, Restaurants, Coffee & Tea, Fast Food, Food	-81.3523595	41.3168386
nwjIvTxJt2GpMoKzuKWIBQ	McDonald's	2518 W Liberty Rd	Pittsburgh	PA	15226	2	29	1	Burgers, Restaurants, Coffee & Tea, Fast Food, Food	-80.026439	40.3987796
DNKb7_EJPGBULaUwL0mq8g	McDonald's	2925 Freeport Rd	Pittsburgh	PA	15238	2	14	1	Food, Burgers, Coffee & Tea, Restaurants, Fast Food	-79.8301523924	40.5391735896
trZ9PBGPUil8NEAoFdb1rQ	McDonald's	10700 Brookpark Rd	Brooklyn	OH	44130	1	8	1	Fast Food, Food, Burgers, Restaurants, Coffee & Tea	-81.7589984742	41.4189079924
wSJflDkXz9BPxiqElNe0jw	McDonald's	6083 Andrews Rd	Mentor	OH	44060	2	8	1	Restaurants, Fast Food, Food, Burgers, Coffee & Tea	-81.3606771827	41.7058947193
8r9G0fUJpCFnbFWMdzzdMw	Burger King	3305 Clark Ave	Cleveland	OH	44109	1.5	5	1	Restaurants, Burgers, Hot Dogs, Fast Food	-81.705804	41.469542
YYEm5MR6HMCQYI0k1wVnXA	Wendy's	3410 William Penn Hwy	Pittsburgh	PA	15235	1.5	10	1	Restaurants, Fast Food, Burgers	-79.8137648466	40.4303453194
9z7Nlp24nc4nUbtaQDKOAQ	Burger King	105 Evco Circle	De Forest	WI	53532	3	3	1	Restaurants, Fast Food, Burgers	-89.372806	43.249809
q8TX-umIvle22sSC3kkHlw	Burger King	2828 Medina Rd	Medina	OH	44256	3.5	6	1	Restaurants, Fast Food, Burgers, Hot Dogs	-81.789114	41.1356993
n8tzdLv8oREwZF6e8u7Hkw	Wendy's	3910 Washington Ave	Madison	WI	53704	2	12	1	Restaurants, Fast Food, Burgers	-89.3179388	43.1218414
4PxeFwWzGW5PnUkknwen3g	Wendy's	14015 Lorain Ave.	Cleveland	OH	44111	1.5	17	1	Fast Food, Restaurants, Burgers	-81.790696	41.4546933
AlNp5mSR8N7rAvONm8BXBQ	McDonald's	4346 Kent Rd	Stow	OH	44224	1.5	9	1	Burgers, Restaurants, Fast Food, Coffee & Tea, Food	-81.4050481	41.1559356
Uc2PqdAPWPMxe6_YHB4wHQ	Wendy's	1703 S. Braddock Ave	Swissvale	PA	15218	2	13	1	Restaurants, Fast Food, Burgers	-79.8883623271	40.42523807
108nrHD9k3qtJPJZE9xmoA	Five Guys	500 S Park Ctr	Strongsville	OH	44136	3.5	25	0	Restaurants, Fast Food, American (New), Burgers	-81.834621706	41.3056545565
2ySggR1WGE4A4cD03akTcQ	McDonald's	1069 N Court St	Medina	OH	44256	3	12	1	Food, Restaurants, Coffee & Tea, Burgers, Fast Food	-81.8630508287	41.1574713509
Qwo5XmriFv2KAcNUwxl6_A	McDonald's	1865 New Texas Rd	Plum	PA	15239	2.5	4	1	Fast Food, Restaurants, Burgers, Coffee & Tea, Food	-79.7142058611	40.4506149597
oqVcCVbwjcA1LXzGfR2z9w	McDonald's	2741 Leechburg Rd	Lower Burrell	PA	15068	1.5	14	1	Restaurants, Coffee & Tea, Burgers, Food, Fast Food	-79.7355616093	40.5910240674
CP7TRCpeBr1sTtWqcfRHxQ	McDonald's	225 Mount Lebanon Blvd	Castle Shannon	PA	15234	2	9	1	Fast Food, Food, Restaurants, Coffee & Tea, Burgers	-80.0378389491	40.368614136
pfGV7rxls65U-yusYR_zfw	Burger King	7998 Leavitt Rd	Amherst	OH	44001	2	4	1	Burgers, Restaurants, Fast Food	-82.211264	41.378803
Na4PriVltR13E48ZdVRl6A	McDonald's	4618 William Flynn Hwy	Hampton Township	PA	15101	3.5	7	1	Burgers, Restaurants, Fast Food, Coffee & Tea, Food	-79.947925508	40.5899863109
XkA8scf2M_-CirepJSACXg	Wendy's	3309 Center Road	Brunswick	OH	44212	3.5	7	1	Fast Food, Restaurants, Burgers	-81.8055051	41.2387296
-ga9DRU4HE6Li9_tWH3_Fg	McDonald's	651 W Main St	Waunakee	WI	53597	2.5	7	1	Fast Food, Coffee & Tea, Burgers, Restaurants, Food	-89.4661277533	43.1923628304
hCxM2MH3cDaqozUDpydXZg	McDonald's	6400 Middle Ridge Rd	Lorain	OH	44053	3	8	1	Burgers, Restaurants, Food, Fast Food, Coffee & Tea	-82.1653532982	41.4133504393
